13.45,3281,50.8F,9.6
13.5,3285,50.8F,9.6
13.55,3286,50.8F,9.6
13.6,3289,50.8F,9.6
13.65,3290,50.8F,9.6
13.7,3293,50.8F,9.6
13.75,3293,50.8F,9.6
13.8,3297,50.8F,9.6
13.85,3299,50.8F,9.6
13.9,3301,50.8F,9.6
13.95,3302,50.8F,9.6
14,3304,50.8F,9.6
14.05,3304,50.8F,9.6
14.1,3307,50.8F,9.6
14.15,3307,50.8F,9.6
14.2,3308,50.8F,9.6
14.25,3309,50.8F,9.6
14.3,3310,50.8F,9.6
14.35,3313,50.8F,9.6
14.4,3313,50.8F,9.6
14.45,3313,50.8F,9.6
14.5,3314,50.8F,9.6
14.55,3313,50.8F,9.6
14.6,3314,50.8F,9.6
14.65,3316,50.8F,9.6
14.7,3315,50.8F,9.6
14.75,3315,50.8F,9.6
14.8,3316,50.8F,9.6
14.85,3316,50.8F,9.6
14.9,3315,50.8F,9.6
14.95,3316,50.8F,9.6
15,3314,50.8F,9.6
15.05,3316,50.8F,9.6
15.1,3314,50.8F,9.6
15.15,3316,50.8F,9.6
15.2,3315,50.8F,9.6
15.25,3314,50.8F,9.6
15.3,3313,50.8F,9.6
15.35,3310,50.8F,9.6
15.4,3310,50.8F,9.6
15.45,3275,50.3F,9.6
15.5,3270,50.4F,9.6
15.55,3266,50.5F,9.6
15.6,3263,50.6F,9.6
15.65,3260,50.6F,9.6
15.7,3257,50.6F,0
15.75,3264,50.7F,9.6
15.8,3259,50.8F,9.6
15.85,3254,50.8F,9.6
15.9,3250,50.9F,9.6
15.95,3244,50.9F,9.6
16,3257,50.9F,9.6
16.05,3226,50.9F,9.6
16.1,3228,50.9F,9.6
16.15,3223,51.0F,9.6
16.2,3223,51.0F,9.6
16.25,3229,51.0F,9.6
16.3,3237,51.0F,9.6
16.35,3238,51.0F,9.6
16.4,3233,51.0F,9.6
16.45,3221,51.0F,9.6
16.5,3212,51.0F,9.6
16.55,3210,51.0F,9.6
16.6,3187,51.0F,9.6
16.65,3182,51.0F,9.6
16.7,3215,51.0F,9.6
16.75,3247,51.0F,9.6
16.8,3262,51.0F,9.6
16.85,3235,51.0F,9.6
16.9,3232,51.0F,9.6
16.95,3229,51.0F,9.6
17,3225,51.0F,9.6
17.05,3228,51.0F,9.6
17.1,3221,51.0F,9.6
17.15,3213,51.0F,9.6
17.2,3216,51.0F,9.6
17.25,3206,51.0F,9.6
17.3,3198,51.0F,9.6
17.35,3195,51.0F,9.6
17.4,3174,51.0F,9.6
17.45,3180,51.0F,9.6
17.5,3148,51.0F,9.6
17.55,3139,51.0F,9.6
17.6,3133,51.0F,9.6
17.65,3131,51.0F,9.6
17.7,3130,51.0F,9.6
17.75,3132,51.0F,9.6
17.8,3135,51.0F,9.6
17.85,3141,51.0F,9.6
17.9,3145,51.0F,9.6
17.95,3151,51.0F,9.6
18,3147,51.0F,9.6
18.05,3141,51.0F,9.6
18.1,3122,51.0F,9.6
18.15,3108,51.0F,9.6
18.2,3098,51.0F,9.6
18.25,3091,51.0F,9.6
18.3,3091,51.0F,9.6
18.35,3091,51.0F,9.6
18.4,3099,51.0F,9.6
18.45,3083,51.0F,9.6
18.5,3085,51.0F,9.6
18.55,3098,51.0F,9.6
18.6,3107,51.0F,9.6
18.65,3072,51.0F,9.6
18.7,3096,51.0F,9.6
18.75,3104,51.0F,9.6
18.8,3061,51.0F,9.6
18.85,3064,51.0F,9.6
18.9,3061,51.0F,9.6
18.95,3059,51.0F,9.6
19,3049,51.0F,9.6
19.05,3044,51.0F,9.6
19.1,3043,51.0F,9.6
19.15,3040,51.0F,9.6
19.2,3028,51.0F,9.6
19.25,3020,51.0F,9.6
19.3,3012,51.0F,9.6
19.35,3004,51.0F,9.6
19.4,3004,51.0F,9.6
19.45,3008,51.0F,9.6
19.5,3015,51.0F,9.6
19.55,3022,51.0F,9.6
19.6,3017,51.0F,9.6
19.65,3004,51.0F,9.6
19.7,2991,51.0F,9.6
19.75,2984,51.0F,9.6
19.8,2980,51.0F,9.6
19.85,2979,51.0F,9.6
19.9,2978,51.0F,9.6
19.95,2978,51.0F,9.6
20,2981,51.0F,9.6
20.05,2980,51.0F,9.6
20.1,2993,51.0F,9.6
20.15,3022,51.0F,9.6
20.2,3036,51.0F,9.6
20.25,3058,51.0F,9.6
20.3,2991,51.0F,9.6
20.35,2977,51.0F,9.6
20.4,2970,51.0F,9.6
20.45,2991,51.0F,9.6
20.5,2974,51.0F,9.6
20.55,2960,51.0F,9.6
20.6,2951,51.0F,9.6
20.65,2947,51.0F,9.6
20.7,2938,51.0F,9.6
20.75,2929,51.0F,9.6
20.8,2918,51.0F,9.6
20.85,2913,51.0F,9.6
20.9,2910,51.0F,9.6
20.95,2909,51.0F,9.6
21,2914,51.0F,9.6
21.05,2917,51.0F,9.6
21.1,2915,51.0F,9.6
21.15,2915,51.0F,9.6
21.2,2926,51.0F,9.6
21.25,2923,51.0F,9.6
21.3,2914,51.0F,9.6
21.35,2918,51.0F,9.6
21.4,2910,51.0F,9.6
21.45,2889,51.0F,9.6
21.5,2868,51.0F,9.6
21.55,2858,51.0F,9.6
21.6,2855,51.0F,9.6
21.65,2854,51.0F,9.6
21.7,2861,51.0F,9.6
